crim crie	參差/㠁嵯
hrauh qiiann	孝昌
hrauh ppiiuk	孝服
hrauh nnrieh	孝義
hrauh siiuk	孝肅
hrauh ttaux	孝道
hrauh qqynh	孝順
mrannh ziix	孟子
mrannh jiiu	孟州
mrannh cuwn	孟村
mrannh zin	孟津
mrannh mrex	孟買
mrannh grau	孟郊
gyh donn	季冬
gyh kan	季刊
gyh bauh	季報
gyh ziix	季子
gyh qyn	季春
gyh zet	季節
gyh lwk	季肋
gyh nak	季諾
gyh loh	季路
gyh guun	季軍
go nnauh	孤傲
go sriiann	孤孀
go griet	孤孑
go ccek	孤寂
go hhan	孤寒
go gruax	孤寡
go sren	孤山
go jiann	孤征
go kkrex	孤拐
go ttuk	孤獨
go lip	孤立
go ccyet	孤絕
go laux	孤老
go damx	孤膽
go ppiiux	孤負/辜負
go xin	孤身
go lwuh	孤陋
go deux	孤鳥
hhwi no	孩奴
hhwi ziix	孩子
hhwi ttunn	孩童
suwn nno	孫吳
suwn gen	孫堅
suwn ziix	孫子
suwn sren	孫山
suwn yet	孫悅
suwn kkryen	孫權
suwn miiox	孫武
suwn lei	孫犁
suwn crek	孫策
suwn ppinx	孫臏
suwn diio	孫誅
piio hruah	孵化
piio iiuk	孵育
hhrok gruei	學乖
hhrok gnin	學人
hhrok ryh	學位
hhrok jieih	學制
hhrok liik	學力
hhrok miann	學名
hhrok ruun	學員
hhrok miinh	學問
hhrok ruuon	學園
hhrok ttann	學堂
hhrok bauh	學報
hhrok ccriix	學士
hhrok mwih	學妹
hhrok ziax	學姐
hhrok ziix	學子
hhrok gra	學家
hhrok nen	學年
hhrok biiox	學府
hhrok tto	學徒
hhrok xxii	學時
hhrok kkii	學期
hhrok nniiop	學業
hhrok ppoh	學步
hhrok lek	學歷
hhrok preh	學派
hhrok hwix	學海
hhrok zra	學渣
hhrok criik	學測
hhrok ttieu	學潮
hhrok liix	學理
hhrok grap	學甲
hhrok giiuh	學究
hhrok ttunn	學童
hhrok cciak	學籍
hhrok grip	學級
hhrok ssip	學習
hhrok jiax	學者
hhrok nnieih	學藝
hhrok qqyt	學術
hhrok ruunh	學運
hhrok hhram	學銜
hhrok brah	學霸
hhrok lenn	學齡
gniioh gnin	孺人
gniioh ziix	孺子
ttrak ziix	宅子
ttrak nwm	宅男
ttrak tteih	宅第
ttrak xiax	宅舍
ttrak pwih	宅配
riiox ttiiuh	宇宙
riiox miin	宇文
riiox hhann	宇航
van kiiu	安丘
van gnin	安仁/安人
van baux	安保
van ccyen	安全
van lih	安利
van hruah	安化
van drok	安卓
van nwm	安南
van nnrye	安危
van kax	安可
van git	安吉
van guwk	安國
van tto	安圖
van da	安多
van nax	安娜
van ttennh	安定
van gra	安家
van nenn	安寧
van nnrok	安岳
van huui	安徽
van sim	安心
van siik	安息
van vuuih	安慰
van kriannh	安慶
van deix	安抵
van lwp	安拉
van pprei	安排
van crep	安插
van piiox	安撫
van sin	安新
van griemx	安檢
van cih	安次
van hiiot	安歇
van taih	安泰
van nnuuon	安源
van kei	安溪
van ttrak	安澤
van gnien	安然
van yann	安營
van ppenn	安瓶
van sriann	安生
van men	安眠
van qqin	安神
van ssiiann	安祥
van biiuk	安福
van vuwnx	安穩
van diih	安置
van nnrieh	安義
van xiiw	安舒
van zannh	安葬
van ttwnn	安藤
van zriiann	安裝
van sei	安西
van xiet	安設
van mit	安謐
van diann	安貞
van xin	安身
van it	安逸
van bronn	安邦
van hiiann	安鄉
van hhren	安閑
van gren	安閒
van liiuk	安陸
van iiann	安陽
van cciannx	安靜
van qqynh	安順
van duwnh	安頓
van liionn	安龍
sonnh ttwih	宋代
sonnh sriix	宋史
sonnh ccii	宋慈
sonnh xiiw	宋書
sonnh gronn	宋江
sonnh pprak	宋白
sonnh teix	宋體
hhuan leux	完了
hhuan gnin	桓仁/完人
hhuan pprih	完備
hhuan ccyen	完全
hhuan xxienx	完善
hhuan gunn	完工
hhuan hhenn	完形
hhuan xxiann	完成
hhuan jiannx	完整
hhuan manx	完滿
hhuan bit	完畢
hhuan xyeih	完稅
hhuan get	完結
hhuan mrix	完美
hhruenn liiannh	宏亮
hhruenn ruuix	宏偉
hhruenn gniio	宏儒
hhruenn tto	宏圖
hhruenn iiann	宏揚
hhruenn jix	宏旨
hhruenn kkii	宏碁
hhruenn nnuuonh	宏願
ttannh qiiann	宕昌
ttannh giii	宕機
zonn jiiox	宗主
zonn cciiannh	宗匠
zonn ttih	宗地
zonn xit	宗室
zonn sri	宗師
zonn mrieuh	宗廟
zonn ccuk	宗族
zonn jix	宗旨
zonn preh	宗派
zonn giin	宗筋
guan ryh	官位
guan grah	官價
guan briann	官兵
guan jieih	官制
guan vinh	官印
guan sii	官司
guan miann	官名
guan liih	官吏
guan ruun	官員
guan ttiiann	官場
guan mwi	官媒
guan ziix	官子
guan hhrok	官學
guan krak	官客
guan syen	官宣
guan hhruanh	官宦
guan gra	官家
guan biiox	官府
guan gueih	官桂
guan ttoh	官渡
guan ziiak	官爵
guan tten	官田
guan xxiiwh	官署
guan piion	官翻
guan jiik	官職
guan hhruaih	官話
guan guun	官軍
guan pprenh	官辦
guan deix	官邸
guan hhram	官銜
guan grei	官階
guan biii	官非
ttiiuh sie	宙斯
nnrie gnin	宜人
nnrie guun	宜君
nnrie xxiann	宜城
nnrie gra	宜家
nnrie sren	宜山
nnrie qyen	宜川
nnrie jiiu	宜州
nnrie qiiann	宜昌
nnrie qyn	宜春
nnrie siiuh	宜秀
nnrie jiiann	宜章
nnrie liiann	宜良
nnrie lan	宜蘭
nnrie piiunn	宜豐
nnrie do	宜都
nnrie iiann	宜陽
nnrie hhuann	宜黃
krak gruanh	客串
krak gnin	客人
krak ttann	客堂
krak ttiiann	客場
krak guan	客官
krak xit	客室
krak gra	客家
krak demh	客店
krak tenn	客廳
krak ppiiann	客房
krak ppiiuk	客服
krak tei	客梯
krak giii	客機
krak six	客死
krak manx	客滿
krak qqyen	客船
krak zaux	客蚤
krak lyn	客輪
krak ruunh	客運
krak ttuwih	客隊
krak teix	客體
syen panh	宣判
syen hruah	宣化
syen xxiann	宣城
syen vuui	宣威
syen jiiu	宣州
syen boh	宣布
syen dwk	宣德
syen vwn	宣恩
syen jienh	宣戰
syen iiann	宣揚
syen grauh	宣教
syen ieih	宣洩
syen hanh	宣漢
syen jiex	宣紙
syen tonnh	宣統
syen nniion	宣言
syen xxieih	宣誓
syen gronnx	宣講
syen ttuk	宣讀
syen ttaux	宣道
xit riiux	室友
xit nnuaih	室外
xit vuwn	室溫
hhruanh guan	宦官
hhruanh hwix	宦海
hhruanh mwn	宦門
giiunn jiiox	宮主
giiunn gnin	宮人
giiunn ryh	宮位
giiunn hhenn	宮刑/弓形
giiunn xxiann	宮城
giiunn iak	宮掖
giiunn bwnx	宮本
giiunn sriiuk	宮縮
giiunn kuuot	宮闕
giiunn giannx	宮頸
zwix gnin	宰人
zwix jieih	宰制
zwix gat	宰割
zwix krak	宰客
zwix sret	宰殺
hhaih gnin	害人
hhaih kwux	害口
hhaih mriannh	害命
hhaih hiix	害喜
hhaih dwk	害得
hhaih six	害死
hhaih xiiuh	害獸
hhaih ppriannh	害病
hhaih nnrenx	害眼
hhaih siiu	害羞
hhaih sau	害臊
hhaih mrax	害馬
hhaih deux	害鳥
venh ssiak	宴席
sieu iah	宵夜/消夜
sieu jiann	宵征
gra jiiox	家主
gra xxip	家什
gra sinh	家信
gra giio	家俱
gra ttunn	家僮/家童
gra hryann	家兄
gra kkiioh	家具
gra miioh	家務
gra xiiuk	家叔
gra nniiom	家嚴
gra ruuon	家園
gra griannx	家景/家境
gra no	家奴
gra ziax	家姐
gra go	家姑
gra niiann	家娘
gra ppa	家婆
gra ppiiux	家婦
gra saux	家嫂
gra ziix	家子
gra ttrak	家宅
gra xit	家室
gra xxiiok	家屬
gra xxiiann	家常
gra deix	家底
gra ttenn	家庭
gra ccii	家慈
gra jiannh	家政
gra ccuk	家族
gra nniiop	家業
gra mwux	家母
gra iionnh	家用
gra dek	家的
gra gryenh	家眷
gra zox	家祖
gra kkrim	家禽
gra si	家私
gra laux	家老
gra xxin	家臣
gra kkiiux	家舅
gra iinn	家蠅
gra ccwm	家蠶
gra geih	家計
gra huunh	家訓
gra box	家譜
gra ttaux	家道
gra hiiann	家鄉
gra qiiux	家醜
gra mwn	家門
gra ttenh	家電
gra vra	家鴉
iionn kwk	容克
iionn xxiiux	容受
iionn krih	容器
iionn xxiann	容城/蓉城
iionn gninx	容忍
iionn hhuwk	容或
iionn jiix	容止
iionn nwp	容納
iionn hiiwx	容許
iionn gniiannh	容讓
iionn mrauh	容貌
iionn xin	容身
iionn nnran	容顏
ccek ccek	寂寂
ccek mak	寂寞
ccek miet	寂滅
ccek gnien	寂然
ccek cciannx	寂靜
grieh jiiox	寄主
grieh miann	寄名
grieh xxiiuh	寄售
grieh ziix	寄子
grieh ccuwn	寄存
grieh hhruei	寄懷
grieh mwux	寄母
grieh sriann	寄生
grieh biiot	寄發
grieh cciak	寄籍
grieh tak	寄託
grieh mreh	寄賣
grieh ziak	寄跡
grieh ssii	寄辭
grieh sunnh	寄送
grieh sieu	寄銷
grieh duwnh	寄頓
mrit kkrienx	密件
mrit cet	密切
mrit riiux	密友
mrit xiiann	密商
mrit bauh	密報
mrit zonn	密宗
mrit xit	密室
mrit mrit	密密
mrit qqit	密實
mrit sren	密山
mrit boh	密布
mrit diiannh	密帳
mrit pprei	密排
mrit twm	密探
mrit ziep	密接
mrit grauh	密教
mrit miin	密文
mrit sie	密斯
mrit lim	密林
mrit mrax	密碼
mrit ttih	密緻
mrit jieuh	密詔
mrit ttam	密談
mrit miiu	密謀
mrit sunnh	密送
mrit ccip	密集
mrit ruun	密雲
mrit ttenh	密電
biiuh riio	富于
biiuh gnin	富人
biiuh xiiann	富商
biiuh guwk	富國
biiuh ccriix	富士
biiuh ppa	富婆
biiuh sriiann	富孀
biiuh nenn	富寧
biiuh xiiwh	富庶
biiuh kkiiann	富強
biiuh twih	富態
biiuh xxii	富時
biiuh riiux	富有
biiuh min	富民
biiuh nnuuon	富源
biiuh gruannx	富礦
biiuh vunn	富翁
biiuh vuun	富蘊
biiuh iioh	富裕
biiuh hhau	富豪
biiuh guuih	富貴
biiuh nonn	富農
biiuh liix	富里
biiuh grimx	富錦
biiuh iiann	富陽
biiuh qqynh	富順
biiuh iiw	富餘
mih liionn	寐龍
hhan ttenn	寒亭
hhan ccrann	寒傖
hhan donn	寒冬
hhan huuon	寒喧/寒暄
hhan ten	寒天
hhan daih	寒帶
hhan miii	寒微
hhan sim	寒心
hhan viih	寒意
hhan jienh	韓戰/寒戰
hhan mau	寒毛
hhan liiu	韓流/寒流
hhan ttieu	寒潮
hhan crimx	寒磣
hhan xiax	寒舍
hhan xxien	寒蟬
hhan suan	寒酸
hhan mwn	寒門
hhan loh	寒露
hhan vra	寒鴉
nniioh viih	寓意
nniioh sriiwx	寓所
nniioh nniion	寓言
cret cret	察察
cret nwp	察納
cret piiannh	察訪
cret nniio	察隅
cret nnrax	察雅
cret nnriemh	察驗
gruax gnin	寡人
gruax ccriiwh	寡助
gruax ppiiux	寡婦
gruax cciann	寡情
gruax ttann	寡糖
gruax nniion	寡言
gruax lwuh	寡陋
gruax ttwu	寡頭
cimx kkiioh	寢具
cimx xit	寢室
nnoh mih	寤寐
qqit biioh	實付
qqit lieih	實例
qqit ttiih	實值
qqit lih	實利
qqit zwk	實則
qqit liik	實力
qqit miioh	實務
qqit miann	實名
qqit ttih	實地
qqit xxiiok	實屬
qqit ganh	實幹
qqit sim	實心
qqit cciann	實情
qqit hhueih	實惠
qqit viih	實意
qqit jienh	實戰
qqit prak	實拍
qqit hhrauh	實效
qqit xxii	實時
qqit griannx	實景
qqit gwn	實根
qqit nniiop	實業
qqit syeih	實歲
qqit huuannh	實況
qqit criik	實測
qqit miit	實物
qqit hhenh	實現
qqit iionnh	實用
qqit sienh	實線
qqit ssip	實習
qqit jiik	實職
qqit diiux	實肘
qqit ssii	實詞
qqit hhruaih	實話
qqit xxiann	實誠
qqit jiinnh	實證
qqit brienh	實變
qqit ccienx	實踐
qqit zieih	實際
qqit nnriemh	實驗
qqit teix	實體
nenn hruah	寧化
nenn nwm	寧南
nenn kax	寧可
nenn guwk	寧國
nenn xxiann	寧城
nenn van	寧安
nenn zonn	寧宗
nenn gann	寧岡
nenn kkiiann	寧強
nenn dwk	寧德
nenn mriann	寧明
nenn zinh	寧晉
nenn miiox	寧武
nenn gronn	寧江
nenn hha	寧河
nenn ba	寧波
nenn zin	寧津
nenn hwix	寧海
nenn kwnnx	寧肯
nenn lannh	寧蒗
nenn ben	寧邊
nenn do	寧都
nenn hiiann	寧鄉
nenn xiemx	寧陝
nenn liinn	寧陵
nenn iiann	寧陽
nenn cciannx	寧靜
nenn nnuuonh	寧願
ximx panh	審判
ximx miinh	審問
ximx cret	審察
ximx ganh	審幹
ximx pei	審批
ximx gwix	審改
ximx hhrek	審核
ximx liix	審理
ximx grip	審級
ximx get	審結
ximx mrix	審美
ximx geih	審計
ximx sinh	審訊
ximx deih	審諦
ximx nnrieh	審議
ximx ttuk	審讀
ximx jiiak	審酌
ximx yet	審閱
siax sinh	寫信
siax cciih	寫字
siax hhuan	寫完
siax qqit	寫實
siax viih	寫意
siax xiiux	寫手
siax biiop	寫法
siax jieuh	寫照
siax sriann	寫生
kuan liiannh	寬亮
kuan mrienx	寬免
kuan kwux	寬口
kuan xxiann	寬城
kuan hhruenn	寬宏
kuan riiuh	寬宥
kuan iionn	寬容
kuan dienx	寬展
kuan daih	寬帶
kuan guannx	寬廣
kuan hhuwnn	寬弘
kuan ttwix	寬待
kuan sim	寬心
kuan xiiwh	寬恕
kuan vuuih	寬慰
kuan qiiannx	寬敞
kuan biiox	寬斧
kuan tiiannh	寬暢
kuan kuannh	寬曠
kuan hhunn	寬洪
kuan gremx	寬減
kuan sriiannx	寬爽
kuan ttenh	寬甸
kuan zrak	寬窄
kuan qiiak	寬綽
kuan hhuanx	寬緩
kuan xiiw	寬舒
kuan iioh	寬裕
kuan twih	寬貸
kuan xiah	寬赦
kuan kuat	寬闊
kuan hhrenx	寬限
kuan ppin	寬頻
kuan iiw	寬餘
leu guwk	寮國
leu vuk	寮屋
leu ppiiann	寮房
tiionnx sinh	寵信
tiionnx ciep	寵妾
tiionnx vwih	寵愛
tiionnx miit	寵物
tiionnx xxin	寵臣
baux denx	寶典
baux tap	寶塔
baux mox	寶媽
baux baux	寶寶
baux ccuah	寶座
baux koh	寶庫
baux xiiw	寶書
baux lim	寶林
baux ciann	寶清
baux ppax	寶爸
baux miit	寶物
baux nniiok	寶玉
baux ppenn	寶瓶
baux xxiak	寶石
baux qqyen	寶船
baux lam	寶藍
baux jiih	寶誌
baux piiunn	寶豐
baux baih	寶貝
baux huah	寶貨
baux guuih	寶貴
baux tep	寶貼
baux gann	寶鋼
baux gei	寶雞
baux mrax	寶馬
cuwnh kwux	寸口
cuwnh gryx	寸晷
cuwnh vrim	寸陰
cuwnh ttwu	寸頭
ssiih mrieuh	寺廟
jyen vit	專一
jyen gnin	專人
jyen lih	專利
jyen jieih	專制
jyen sii	專司
jyen miann	專名
jyen ruun	專員
jyen ttiiann	專場
jyen gra	專家
jyen jiann	專征
jyen sim	專心
jyen viih	專意
jyen xxienh	專擅
jyen jiannh	專政
jyen riiux	專有
jyen vanh	專案
jyen nniiop	專業
jyen kkryh	專櫃
jyen lan	專欄
jyen kkryen	專權
jyen kuanx	專款
jyen jiioh	專注
jyen yann	專營
jyen iionnh	專用
jyen ttiann	專程
jyen guanx	專管
jyen sienh	專線
jyen jiik	專職
jyen piiannh	專訪
jyen zrek	專責
jyen mreh	專賣
jyen ccip	專輯
jyen mwn	專門
jyen hhronnx	專項
zuwn gunn	尊公
zuwn bie	尊卑
zuwn guun	尊君
zuwn mriannh	尊命
zuwn nniiom	尊嚴
zuwn ttann	尊堂
zuwn ppiionnx	尊奉
zuwn iionn	尊容
zuwn ccriiunn	尊崇
zuwn sri	尊師
zuwn viih	尊意
zuwn griannh	尊敬
zuwn ryann	尊榮
zuwn vunn	尊翁
zuwn laux	尊老
zuwn jiax	尊者
zuwn guuih	尊貴
zuwn grah	尊駕
zuwn nniiw	尊魚
ssim kkiiu	尋求/尋仇
ssim miiih	尋味
ssim miinh	尋問
ssim jiix	尋址
ssim baux	尋寶
ssim xxiiann	尋常
ssim giii	尋機
ssim huan	尋歡
ssim six	尋死
ssim vo	尋烏
ssim hhruek	尋獲
ssim dek	尋的
ssim zo	尋租
ssim hrua	尋花
ssim mek	尋覓
ssim piiannh	尋訪
ssim hrinh	尋釁
duwih leux	對了
duwih biioh	對付
duwih ryh	對位
duwih grah	對價
duwih giannh	對勁
duwih banh	對半
duwih kwux	對口
duwih qiiannh	對唱
duwih ttih	對地
duwih lyx	對壘
duwih nnuaih	對外
duwih ziix	對子
duwih gra	對家
duwih kkiiok	對局
duwih nnanh	對岸
duwih ttiix	對峙
duwih gunn	對工
duwih diiannh	對帳
duwih iak	對弈
duwih ttwix	對待
duwih sim	對心
duwih jienh	對戰
duwih xiiux	對手
duwih ziep	對接
duwih hhuanh	對換
duwih ttek	對敵
duwih gnit	對日
duwih bwnx	對本
duwih bwi	對杯
duwih vanh	對案
duwih ga	對歌
duwih liiu	對流
duwih sieu	對消
duwih huax	對火
duwih zieu	對焦
duwih jieuh	對照
duwih pprak	對白
duwih nnrenx	對眼
duwih lip	對立
duwih dwp	對答
duwih crek	對策
duwih mrix	對美
duwih hhra	對蝦
duwih qiionn	對衝
duwih grim	對襟
duwih crinh	對襯
duwih ssii	對詞
duwih hhruaih	對話
duwih ttam	對談
duwih jiinnh	對證
duwih ssiiannx	對象
duwih loh	對路
duwih jiiak	對酌
duwih mwn	對門
duwih kwi	對開
duwih ttinh	對陣
duwih mienh	對面
duwih ttwu	對頭
duwih mrax	對馬
ttauh gnip	導入
ttauh bauh	導報
ttauh neuh	導尿
ttauh sri	導師
ttauh bah	導播
ttauh ienx	導演
ttauh guanx	導管
ttauh sienh	導線
ttauh dih	導致
ttauh hhann	導航
ttauh lamx	導覽
ttauh nniion	導言
ttauh ttuk	導讀
ttauh gwuh	導購
ttauh gryx	導軌
ttauh lyn	導輪
ttauh iiu	導遊
ttauh ttenh	導電
ttauh teix	導體
sieux sam	小三
sieux tiiux	小丑
sieux kiiu	小丘
sieux gnih	小二
sieux gnin	小人
sieux twu	小偷
sieux gnie	小兒
sieux dau	小刀
sieux brau	小包
sieux banh	小半
sieux xiiuk	小叔
sieux xxiiux	小受
sieux kax	小可
sieux giit	小吃
sieux miann	小名
sieux primx	小品
sieux hhenn	小型
sieux xxiann	小城
sieux bauh	小報
sieux vrieu	小妖
sieux mwih	小妹
sieux ziax	小姐
sieux go	小姑
sieux i	小姨
sieux vre	小娃
sieux ziix	小子
sieux hhwi	小孩
sieux hhrok	小學
sieux guan	小官
sieux hhan	小寒
sieux siax	小寫
sieux sieux	小小
sieux vuk	小屋
sieux qyen	小川
sieux bra	小巴
sieux hhronnh	小巷
sieux demh	小店
sieux kann	小康
sieux giionh	小建
sieux kkiiann	小強
sieux gennh	小徑
sieux sim	小心
sieux giionn	小恭
sieux krieih	小憩
sieux nnax	小我
sieux kkriex	小技
sieux crau	小抄
sieux kkrex	小拐
sieux jix	小指
sieux hhaux	小昊
sieux qyn	小春
sieux xxii	小時
sieux xiiwx	小鼠/小暑
sieux kiiok	小曲
sieux bwnx	小本
sieux lim	小林
sieux kkrieu	小橋
sieux min	小民
sieux hha	小河
sieux ccyen	小泉
sieux prau	小泡
sieux ba	小波
sieux vuen	小淵
sieux gronnx	小港
sieux kei	小溪
sieux dek	小的/小滴
sieux manx	小滿
sieux ttieu	小潮
sieux nniiu	小牛
sieux kuenx	小犬
sieux gwux	小狗
sieux kkiiu	小球
sieux ppriannh	小病
sieux pprak	小白
sieux xxyeh	小睡
sieux zet	小節
sieux ttyenx	小篆
sieux meix	小米
sieux biinx	小粉
sieux zox	小組
sieux get	小結
sieux iiann	小羊
sieux kaux	小考
sieux xiann	小聲
sieux naux	小腦
sieux giiak	小腳
sieux ttiiann	小腸
sieux biiuk	小腹
sieux tuwix	小腿
sieux qqiet	小舌
sieux qqyen	小船
sieux cwih	小菜
sieux huun	小薰
sieux mit	小蜜
sieux doh	小蠹
sieux ttwih	小袋
sieux geih	小計
sieux ttwuh	小豆
sieux baih	小貝
sieux biionh	小販
sieux zi	小資
sieux loh	小路
sieux bwih	小輩
sieux ppenx	小辮
sieux iiu	小遊
sieux ttaux	小道
sieux jiiak	小酌
sieux grim	小金
sieux kwi	小開
sieux nnrax	小雅
sieux gei	小雞
sieux syet	小雪
sieux hhronnx	小項
sieux nnak	小顎
sieux mrax	小馬
sieux hhruan	小鬟
sieux guuix	小鬼
sieux deux	小鳥
sieux baux	小鴇
sieux miio	小鵐
sieux nna	小鵝
sieux vwu	小鷗
sieux mrek	小麥
sieux hhuann	小黃
sieux liionn	小龍
ziem dau	尖刀
ziem lih	尖利
ziem kwk	尖刻
ziem lieih	尖厲
ziem geuh	尖叫
ziem tap	尖塔
ziem ziix	尖子
ziem ziem	尖尖
ziem sren	尖山
ziem zret	尖扎
ziem sin	尖新
ziem zieu	尖椒
ziem nnra	尖牙
ziem xxiak	尖石
ziem zrak	尖窄
ziem duan	尖端
ziem seih	尖細
ziem suan	尖酸
ziem dennx	尖頂
ziem ttwu	尖頭
riiu kwmx	尤坎
riiu dwk	尤德
riiu jix	尤指
riiu kei	尤溪
riiu rye	尤為
riiu miit	尤物
riiu grim	尤金
greih leu	尬聊
greih miiox	尬舞
cciiuh ttih	就地
cciiuh hhrok	就學
cciiuh cimx	就寢
cciiuh kkrim	就擒
cciiuh xxiex	就是
cciiuh muk	就木
cciiuh nniiop	就業
cciiuh ciex	就此
cciiuh suanx	就算
cciiuh ppiiomx	就範
cciiuh ssiiwx	就緒
cciiuh nnrieh	就義
cciiuh jiik	就職
cciiuh ttuk	就讀
cciiuh ttaux	就道
cciiuh vii	就醫
cciiuh can	就餐
xi la	尸羅
qiak ziix	尺子/赤子
qiak cuwnh	尺寸
qiak mrax	尺碼
qiak vuak	尺蠖
qiak gye	尺規
qiak guwt	尺骨
kau guwt	尻骨
ni kwk	尼克
ni mwuh	尼姆
ni go	尼姑
ni kann	尼康
ni cwix	尼採
ni sie	尼斯
ni gnit	尼日
ni muk	尼木
ni sann	尼桑
ni la	尼羅
ni so	尼蘇
ni nnrax	尼雅
ni liionn	尼龍
miiix ziix	尾子
miiix bra	尾巴
miiix gek	尾擊
miiix kkii	尾期
miiix srau	尾梢
miiix tty	尾椎
miiix kiiomh	尾欠
miiix kuanx	尾款
miiix xyx	尾水
miiix liiu	尾流
miiix dwnn	尾燈
miiix nnra	尾牙
miiix sriann	尾生
miiix gruannx	尾礦
miiix iik	尾翼
miiix xiann	尾聲
miiix viux	尾蚴
miiix ssye	尾隨
miiix vrim	尾音
miiix ruunh	尾韻
miiix guwt	尾骨
neuh neuh	尿尿
neuh boh	尿布
neuh ccriiann	尿床
neuh grip	尿急
neuh ttok	尿毒
neuh iak	尿液
neuh penh	尿片
neuh ppwn	尿盆
neuh soh	尿素
neuh prau	尿脬
neuh ttaux	尿道
neuh demx	尿點
kkiiok xieih	局勢
kkiiok ttih	局地
kkiiok nnuaih	局外
kkiiok ziix	局子
kkiiok grip	局級
kkiiok mienh	局面
pih pih	屁屁
pih min	屁民
pih nnrenx	屁眼
pih gox	屁股
pih hhruaih	屁話
greih xxii	屆時
greih manx	屆滿
vuk nnuaih	屋外
vuk ziix	屋子
vuk riiox	屋宇
vuk grah	屋架
vuk iem	屋簷
vuk ziak	屋脊
vuk mienh	屋面
vuk dennx	屋頂
dienx ryh	展位
dienx primx	展品
dienx xit	展室
dienx kuan	展寬
dienx boh	展布
dienx bah	展播
dienx kkii	展期
dienx nnuanh	展玩
dienx hhenh	展現
dienx mri	展眉
dienx hhuanx	展緩
dienx xieh	展翅
dienx ttwi	展臺
dienx lamx	展覽
dienx sieu	展銷
dienx kwi	展開
dienx loh	展露
dienx guanh	展館
liioh gra	屢加
liioh liioh	屢屢
liioh cih	屢次
liioh zau	屢遭
ccwnn bauh	層報
ccwnn vrap	層壓
ccwnn ziix	層子
ccwnn ccwnn	層層
ccwnn luan	層巒
ccwnn nnram	層巖
ccwnn lwu	層樓
ccwnn cih	層次
ccwnn liiu	層流
ccwnn ccriiannh	層狀
ccwnn liix	層理
ccwnn ttep	層疊
ccwnn grip	層級
ccwnn ruun	層雲
ccwnn mienh	層面
lix daih	履帶
lix lek	履歷
lix ccienx	履踐
xxiiok liih	屬吏
xxiiok guwk	蜀國/屬國
xxiiok ttih	屬地
xxiiok qqit	屬實
xxiiok siannh	屬性
jiiok miin	屬文
xxiiok lenn	屬靈
sren kiiu	山丘
sren dan	山丹
sren ttenn	山亭
sren vrep	山凹
sren xieih	山勢
sren brau	山包
sren nwm	山南
sren kwux	山口
sren ttih	山地
sren pa	山坡
sren vwi	山埃
sren xxiann	山城
sren hak	山壑
sren ziix	山子
sren gann	山岡
sren hhrep	山峽
sren bwnn	山崩
sren liannx	山嶺
sren nnrok	山嶽
sren luan	山巒
sren den	山巔
sren hhenn	山形
sren bwnx	山本
sren cuwn	山村
sren dunn	山東
sren liiann	山梁
sren li	山梨
sren ccra	山楂
sren ga	山歌
sren xyx	山水
sren hha	山河
sren hhunn	山洪
sren gwu	山溝
sren granh	山澗
sren huax	山火
sren cciiann	山牆
sren sri	山獅
sren xxyeh	山瑞
sren tten	山田
sren qqin	山神
sren diiuk	山竹
sren iiann	山陽/山羊
sren kiiann	山羌
sren ziak	山脊
sren vieu	山腰
sren giiak	山腳
sren ttra	山茶
sren zriiann	山莊
sren kky	山葵
sren iiak	山藥
sren so	山蘇
sren sei	山西
sren ccwk	山賊
sren loh	山路
sren hiiann	山鄉
sren mwn	山門
sren va	山阿
sren vrim	山陰
sren ziiak	山雀
sren ttix	山雉
sren gei	山雞
sren dennx	山頂
sren ttwu	山頭
sren teix	山體
sren dwuh	山鬥
sren mri	山鶥
sren liiuh	山鷚
sren luk	山麓
nniit lip	屹立
nnrip nniiop	岌嶪
kkie sren	岐山
ccrim pprann	岑彭
ccrim kei	岑溪
ccrim giionnx	岑鞏
gann sren	岡山
gann bwnx	岡本
gann tten	岡田
kax lwm	岢嵐
ttwih sren	岱山
ttwih mrieuh	岱廟
nnrok ttiiannx	岳丈
nnrok gra	岳家
nnrok mwux	岳母
nnrok sei	岳西
nnrok iiann	岳陽
nnrok biii	岳飛
mrin gronn	閩江/岷江
nnanh xxiiannh	岸上
nnanh gnien	岸然
nnanh ben	岸邊
cieuh bek	峭壁
hhenx gronnx	峴港
synh lieih	峻厲
synh cieuh	峻峭
synh liannx	峻嶺
hhrep gronn	峽江
hhrep vruan	峽灣
ccriiunn gnin	崇仁
ccriiunn sinh	崇信
ccriiunn van	崇安
ccriiunn qyen	崇川
ccriiunn jiiu	崇州
ccriiunn kriannh	崇慶
ccriiunn breih	崇拜
ccriiunn griannh	崇敬
ccriiunn mriann	崇明
ccriiunn iiann	崇洋/崇陽
ccriiunn diann	崇禎
ccriiunn leix	崇禮
ccriiunn nnrieh	崇義
gann ryh	崗位
gann bra	崗巴
gann lwu	崗樓
kkuut lip	崛立
kkuut kiix	崛起
vriem zii	崦嵫
bwnn ccuwi	崩摧
bwnn cco	崩殂
bwnn hryeh	崩毀
bwnn lwuh	崩漏
bwnn hhuwih	崩潰
bwnn ppan	崩盤
bwnn lak	崩落
bwnn liet	崩裂
bwnn hhremh	崩陷
vruei ziix	崴子
vruei giiak	崴腳
qqiinnh jiiu	嵊州
qqiinnh sih	嵊泗
kram gnip	嵌入
lwm sren	嵐山
lwm gau	嵐皋
