AIA h1E	非音
AIA hwA	飛鷹
AIA jAA	緋紅/飛紅
AIA jtD	非核
AIA lNC	非裔
AIA lpA	飛揚
AIA lpD	飛躍
AIB AqA	匪幫
AIB GLA	匪徒
AIB GkC	匪盜
AIB jgL	匪穴
AIC E5B	沸點
AIC GxA	沸騰
AIC ZuD	沸石
AIC aGJ	沸水
AIC gJA	鯡魚
AKA OfB	膚淺
AKA VwD	膚色
AKB DqD	府幕
AKB EMB	府邸
AKB GMC	府第
AKB GgA	莆田
AKB GzA	斧頭
AKB NHB	斧子/脯子
AKB PyC	俯就
AKB XuC	斧正
AKB YDA	俯衝
AKB ZpC	府上
AKB ZuA	府城
AKB aHC	府試
AKB aVA	俯身
AKB e3C	俯瞰
AKB eLC	府庫
AKB glK	俯臥
AKB hVD	甫一
AKB lVJ	府尹
AKC NHB	付梓
AKC OuA	付清
AKC PfA	付錢
AKC XJA	付諸
AKC aHA	賦詩
AKC aNK	賦稅
AKC d1H	付給
AKC dYD	付訖
AKC deA	賦閒
AKC dlA	傅柯
AKC ecJ	付款
AKC hVC	付印
AKC jgC	付現
AKC lfL	傅說
ALB A9D	補法
ALB AZD	補發
ALB AiF	譜表
ALB AkC	補報
ALB B1F	補品
ALB CrD	補白
ALB DcB	補滿
ALB DgA	補眠
ALB DiE	補苗
ALB DnB	補碼
ALB EOC	譜帶
ALB EcL	補裰
ALB ExA	補登
ALB F5D	補貼
ALB FMB	補體
ALB FTA	補胎
ALB G5D	譜牒
ALB GgC	補電
ALB ILA	補爐
ALB NHB	譜子
ALB P1D	補集
ALB QfC	譜線
ALB QoB	譜寫
ALB R1D	補習
ALB UJC	補助
ALB VwD	補色
ALB YBA	補充
ALB ZHA	補時
ALB aNK	補稅
ALB d1H	補給
ALB dED	補角
ALB dMC	譜係
ALB dyC	補救
ALB eDD	譜曲
ALB eZL	補闕
ALB ekB	補考
ALB elK	補課
ALB gnA	補牙
ALB huT	補益
ALB igL	補血
ALB ilK	補貨
ALB inI	補花
ALB jED	譜學
ALB jMC	譜系
ALB jSI	補回
ALB lpD	補藥
ALB luD	補液
ALC BIB	布斐
ALC BVD	布匹
ALC CrD	布帛
ALC DcB	布滿
ALC DqD	布幕
ALC FlC	布拖
ALC GTC	布袋
ALC GkB	佈道/布道
ALC HqA	布囊
ALC I1A	布林
ALC ISI	佈雷
ALC IqB	布朗
ALC JHC	佈置
ALC QfC	布線
ALC Z1D	布什
ALC ZJC	布署
ALC ZuA	布城
ALC dAD	布穀
ALC dVE	布巾
ALC dZC	布建
ALC dsB	佈景
ALC fDD	佈局
ALC gLB	佈伍/布伍
ALC hIA	布依
ALC iIA	布希
AMA DnA	蓖麻
AMA GzA	篦頭
AMA NHB	篦子
AOC AkB	貝寶
AOC DzB	貝母
AOC EhA	貝雕
AOC ElA	貝多
AOC F3D	貝塔
AOC H2A	貝南
AOC HvA	貝寧
AOC I2D	貝拉
AOC IGK	貝類
AOC QFA	貝斯
AOC QHA	貝司
AOC YHB	貝齒
AOC cFB	貝爾
AOC dlJ	貝果
AOC dyB	貝九
AOC exD	貝克
AOC eyA	貝丘
APB ALB	擺譜
APB ALC	擺布
APB DPC	擺賣
APB DcB	擺滿
APB DsA	擺明
APB GAB	擺動
APB GLC	擺渡
APB IAC	擺弄
APB IVI	擺輪
APB NHB	擺子
APB QfC	擺線
APB XDA	擺鐘
APB afD	擺設
APB ayB	擺手
APB ecL	擺闊
APB jqJ	擺晃
AQC AQC	拜拜
AQC AXC	扒糞
AQC BpC	拜訪
AQC CFE	扒皮
AQC CXD	拜佛
AQC CfH	拜別
AQC ExA	拜登
AQC FqD	拜託
AQC GAD	拜讀
AQC GqA	拜堂
AQC HgA	拜年
AQC I2D	扒拉
AQC IVI	拜倫
AQC IzA	扒摟
AQC NgD	拜節
AQC OgD	扒竊
AQC PfI	拜泉
AQC VGA	拜師
AQC ZuA	拜城
AQC ayB	扒手
AQC d1E	拜金
AQC eTA	扒開
AQC hZD	拜謁
AQC iSI	扒灰
ASA E5C	杯墊
ASA NHB	杯子
ASA dcD	杯葛
ASA djC	杯珓
ASA fKC	杯具
ASC NHB	輩子
ASC cFA	輩兒
AUC B1F	廢品
AUC DXD	廢物
AUC FCC	廢統
AUC FgD	廢鐵
AUC JHC	廢置
AUC KVL	廢黜
AUC SnA	廢渣
AUC UPA	廢柴
AUC XFB	廢紙
AUC XHB	廢止
AUC ZHA	廢時
AUC aFB	廢弛
AUC aGJ	廢水
AUC cVA	廢人
AUC cfA	廢然
AUC eGC	廢棄
AUC eJA	廢墟
AUC fyC	廢舊
AUC jRK	廢話
AUC luD	廢液
AVA GgA	濱田
AVA JFA	檳知
AVA NHB	檳子
AVA RDA	濱松
AVA XyA	檳州/濱州
AVA ZuA	檳城/濱城
AVA dEA	濱江
AVA iTB	濱海
AVA jLA	濱湖
AVC AZD	鬢髮
AVC DkA	鬢毛
AVC I4C	殯殮
AVC NqC	殯葬
AVC dED	鬢角
AVC dpD	鬢腳
AVC eGC	擯棄
AVD CGG	必備
AVD DlA	畢摩
AVD DsC	畢命
AVD EgB	畢典
AVD ExD	必得
AVD GvC	必定
AVD IVD	觱慄/觱篥
AVD NgD	畢節
AVD QKA	必需/必須
AVD QiC	畢肖
AVD QyA	必修
AVD VsA	畢生
AVD afD	畢設
AVD awA	畢昇
AVD awC	必勝
AVD cfA	必然
AVD dsC	畢竟
AVD g8D	畢業
AVD hwC	必應
AVD iaI	畢婚
AVE AVE	彬彬
AVE NHB	份子
AVE cFA	份兒
AVE grD	份額
AVH A9D	筆法
AVH BDA	筆鋒
